,project_id,coordinator,total_budget,eu_contribution,background
217,1361,AEA Technology,546600.86,273300.43,"The aim of this project is to demonstrate BAT for the process industry for maximising solvent recovery and reuse whilst minimising emissions to the atmosphere.  The VOC emissions of interest include those of halogenated solvents.  In quantitative terms, the project aims to demonstrate a reduction in VOC emissions from levels of aproximately 500mg/m3 to below 5mg/m3 , which will define a new EU standard for BAT.  From this project, information will be available to enable the design of a plant that can be incorporated into the manufacturing lines of the process industries.



An integrated solution to the problem of combining solvent capture and recovery with plasma destruction of the remaining VOC in the gas stream is proposed.  The non-thermal atmospheric pressure plasma is generated using a patented microwave system.  The electric field is intensified to a level where the gas carrying the solvent is ionised.  The microwave power then heats the released electrons thus producing more ionisation and also high densities of reactive free radicals.  These radicals, together with direct electron impact, destroy the solvent molecules producing compounds that can be easily removed by, for example, standard scrubbing techniques.  

The project is being performed in two phases.  Firstly, a prototype non-thermal plasma system has been designed, constructed and commissioned.  Small scale laboratory studies have indicated that this approach can economically oxidise low concentrations of a range of organic materials.  Secondly, the system has been installed downstream of a solvent condensor at a pharmaceutical process plant.  Trials have been carried out to demonstrate  reduced VOC emissions from pharmaceutical processes when the plasma system is operated in conjunction with solvent capture techniques"
218,687,"Lothian & Edinburgh Environ. Partnership (LEEP), Bonnington Mill Bus. Centre",275845.48,130888.90,"The Billsavers Project is measuring the financial and environmental benefits of using energy efficient domestic appliances and lighting in separate samples of low and middle-high income households. It is also assessing the extent to which the purchase of replacement energy efficient appliances can be financed out of the subsequent energy and cost savings. In addition, the project has the objective of developing and applying practical strategies for identifying inefficient appliances and increasing the uptake of more efficient ones.
Billsavers was established in 1992 in response to the Energy Efficiency Office Report ¿Energy Efficiency in Domestic Electric Appliances¿ and LEEP¿s own energy advice work in alleviating fuel poverty in the Edinburgh area. The first feasibility phase in low-income households was completed in 1994.  Monitoring was carried out by attaching meters to the main domestic white goods appliances and the lighting circuits in participating households which also recorded their patterns of appliance use in ¿energy diaries¿. The meters were read and energy diaries collected every fortnight for an initial 12 month period.  This baseline data was used to identify high-consuming appliances for replacement. This marked the completion of the feasibility study.  Subsequent LIFE funding made it possible to carry out interventions, during which some appliances and incandescent lamps were replaced and energy advice given to each household, followed by a second 12 month period of monitoring to determine the level of energy savings. The LIFE funding also enabled the extension of the project to include middle- to high-income households in the Edinburgh area. This work, which is in its post-intervention monitoring phase, will make it possible to present a more complete picture of energy use in domestic appliances, to compare different socio-economic groups, and to arrive at a better understanding of the scope for improving appliance and lighting efficiency an"
219,678,Epichem Ltd.,1367094.01,410128.20,"Waste gases are currently shipped across international borders and are either burnt, scrubbed with aqueous liquids or simply diluted and released into the atmosphere.  DELTA, managed by Epichem Ltd, will demonstrate the effectiveness of a new technology for disposal of toxic gases and volatile liquids returned to gas companies in containers for recycling.  Point of use technology will also avoid conditions which can lead to the formation of dioxins, difurans and the release of chlorine containing species.



The viability of combining the advantages of burning and scrubbing in a single step has been demonstrated before in the treatment of waste streams from the microelectronics industry at the point of occurrence.  Having proved that this approach works, the DELTA project aims to demonstrate that the same technology can be applied to toxic waste gases in returned cylinders at the Epichem site, that the technology is cost-effective for gas companies and that the commercial gas industry will accept this approach."
220,1498,Kirklees Metropolitan Council,924009.00,462004.50,"The 1980s saw increasing awareness of the impacts of transport on the environment.  The European State of the Environment report and the Fifth Environmental Action Programme set the agenda for the 90¿s and identified road traffic as a key environmental issue.  ISIS was conceived out of the perception that policy makers were not fully aware of the significant and diverse environmental implications of traffic and land use planning.  Little guidance of a comprehensive nature is available for identifying, assessing and integrating environmental information into the local planning framework.

The aim of the project is to demonstrate the use of an integrated assessment system for the evaluation of transport planning against sustainability criteria in the European Union and to provide and disseminate a set of practical working guides and tools to assist such environmental assessment for policy makers, decision-makers and administrators at local authority level, on dealing with, managing and planning for road traffic.

The ISIS project is a transnational, collaborative project consisting of: demonstration computer software to show how databases, models and Geographical Information Systems can be combined in one common framework;  guides for policy makers, decision makers and local administrators dealing with road traffic (dealing with air and noise, health and social impacts, energy);  case studies implementing GIS in Madeira, Copenhagen and Kirklees."
221,131,Highland Birchwoods,925000.00,600000.00,"As the native woodland of Scotland, Caledonian Pine Forests were once a common sight across the Scottish landscape. A distinctive feature of these mature forests is the 'granny pines' with their thick knarled trunks and large canopies, some of which are over 400 years old. Unlike the commercial pine plantations we see nowadays, these ancient forests support a very rich diversity of animals and plants which makes them a priority habitat under the EU Directive. However, the forests have, over the centuries, sustained a massive reduction through a combination of socio-economic and natural causes and, today continue to suffer from overgrazing, burning and mismanagement. High populations of red deer, in particular, are a serious obstacle to their natural regeneration. With no more than 1% of their original range left and much of this is in a degraded, senescent and isolated state of low regenerative capacity, a concerted effort of both government and non-governmental organisations is vital if the remaining stands are to be brought back to a level that makes them viable in the long term."
222,128,Royal Society for the Protection of Birds (RSPB),3050000.00,1767500.00,"Note that this project was followed up by separate project LIFE00 NAT/UK/007075 Blanket bog - Restoring active blanket bog of European importance in North Scotland.<br/>In world terms, blanket bogs are a geographically restricted habitat. They require very specific climatic conditions - persistently wet and cool - in order to allow the growth of Sphagnum rich vegetation which is usually only found on the fringes of large oceans at high latitude. The Flow Country in North Scotland is a prime location for this priority habitat. At 400 000 ha, it is the largest single expanse of blanket bog in Europe, and possibly in the world. Other significant areas within the United Kingdom are found in Northern Ireland, where Cuilcagh mountain, which extends over 5000 ha along the border with the Republc of Ireland, is one of the most important sites for conservation. The threats facing blanket bogs include drainage, burning, overgrazing, peat extraction and forestry.  These are widespread, numerous and not easily controlled, primarily because of the nature of the damaging operations, the remoteness of the sites and the large areas over which they occur. Moreover, peatland habitats are particularly sensitive to hydrological changes brought about by drainage for agricultural improvement, forestry and peat extraction. Lack of control over these activities is a key conservation problem which requires immediate action if the remaining habitats are not to be lost or further degraded."
223,149,National Trust,750000.00,300000.00,"This project was financed by LIFE in instalments. That is the reason why you may find the same project in different 'submission years'. (This project was the first phase, see phase 2, LIFE97 NAT/UK/004245.)<br/>Orford Ness is a 16km shingle spit on the Suffolk coast with extensive landward areas of saltmarsh, brackish lagoons and neutral grassland. It was formed by longshore drift, and is reputedly the largest spit in Europe.  Around 37 bird species breed or overwinter in the area, 8 of which are on Annex I of the Birds Directive. It was also a strategically important military site. Owned by the Ministry of Defence until 1973 it was used primarily for military research purposes including firing trials. This affected the natural habitats. After 1973, unlawful access and activities spread unchecked across the site, resulting in a dramatic and steady decline of many of the bird species. Intervention was considered necessary to restore and conserve the area. The National Trust bought the site in 1994 and sought LIFE support for urgent action.<br/>(See also LIFE08 NAT/UK/000199.)"
224,1340,SmithKline Beecham Pharmaceuticals,820663.72,246199.11,"A major issue for many pharmaceutical production units is the management of large, and variable, volumes of effluent with a high oxygen demand.  For example, SmithKline Beecham¿s plant in Irvine produces approximately 6,000 m3 per day, equivalent to the output from a town with a population of 300,000.  This project intended to develop an integrated process for treating the effluent and, furthermore, to explore beneficial uses for waste products.

The project involved SmithKline Beecham, the Scottish Agricultural College, industrial waste recycling companies and environmental consultants.  A pilot plant was constructed which provided operational data for specifying full-scale plant design.  The pilot plant also provided waste sludge for characterisation and enabled re-cycling trials to be carried out including direct use of secondary treated sludge as a fertiliser/soil enhancer, and aerobic composting of the solid waste to provide a peat substitute for horticultural use."
225,831,Neath Port Talbot County Borough Council,1505310.53,647283.53,"Europe¿s mining history has left a legacy of contaminated streams and rivers.  The River Pelenna in South Wales is one such case, now a vivid orange for much of its length due to iron oxides that precipitate out of minewaters.  This project is demonstrating the use of reedbeds and other passive treatment systems to clean the minewaters before they reach the river.  The results should be applicable to other mining areas across the EU.

The River Pelenna in the Tonmawr area of West Glamorgan in south Wales is yellow-orange for abut 17km of its length due to the deposition of iron oxides that are carried from abandoned coal mines in the area.  The project intends to restore the Pelenna to life by treating the minewaters to remove metals before they enter the river.

The project is led by Neath Port Talbot County Borough Council in partnership with the Environment Agency.  The matching funding comes from the County Council and the NRA, together with substantial support from the Welsh Development Agency.  The project has recruited consultants to advise the Authority¿s in-house design team on specialist aspects of constructed wetlands for minewater purification. 

A large scale demonstration wetland treatment system capable of improving sites contaminated by coal minewater discharges will be created and evaluated in terms of water purification and its suitability for the rehabilitation of contaminated sites.  The opportunities to enhance the conservation aspects of such a treatment system will also be assessed and developed.

The findings from the project will contribute to and enhance existing information on minewater pollution treatment and will be available for dissemination and application elsewhere in Europe"
226,642,London Borough of Wandsworth,1580367.86,790183.94,"London¿s public parks make an important contribution to the quality of life of residents and visitors, and its lakes provide a valuable ecological and recreational resource.  Over the last fifty years, the amenity value of park lakes in London has been reduced by poor water quality and by the erosion of their banks.  The London Lakes project is a three year demonstration project which aims to develop approaches to rehabilitation and management which will be disseminated throughout Europe. 

The project, run by Wandsworth Borough Council, centred around three lakes in south London, King George¿s Park Lake, Tooting Common Lake and Battersea Park Lake.  The objectives were as follows:
· the physical rehabilitation of the three lakes, including the improvement of water quality, lake vegetation and bank areas;
· the development of a land use management system for urban lake areas which can subsequently be applied elsewhere;
· a demonstration of the benefits of such a scheme to the public to gain their co-operation with the maintenance of environmental standards.

Water quality and ecological diversity has been significantly enhanced in the three lakes where work has been carried out.  Since 1993, depending on the measures undertaken at each lake, several positive trends have been observed at the three sites, including reduced levels of phosphorus and chlorophyll, increased oxygen levels, and improved visibility; these changes are predicted to continue in the future.  The lakeside environment has also been transformed with a rich variety of bankside vegetation.
A comprehensive Lakes Management Manual and the detailed results derived from the findings of the LIFE project will be made available to lake managers across Europe in the form of a CD-ROM."
227,1341,Walford College of Agriculture,397619.16,198809.58,"Methane gas is used to generate electricity through a Combined Heat and Power (CHP) unit and is rated to supply up to one third of the farms normal electricity needs.  Heat is also used to treat water for circulation in the digester to maintain the optimum temperature to sustain the slurry and manure breakdown process which takes place over an average of 20 days.  After digestion the slurry is passed over a belt drive sieve separator with the liquor stored in an above ground tank and the fibre composted for further breakdown aerobically.  The liquor will be used in a series of grassland field trials over two years to establish its nutrient level and to replace bought-in inorganic fertilisers.  The compost wil be used, as peat replacer to grow on bedding plants and hardy nursery stock andtrials will be held to evaluate the product for use as a general purpose growing medium."
228,1475,Highland Council,657904.84,328952.42,"The Highland Region of Scotland is an area of outstanding natural heritage: nearly one fifth of the Region is designated as land of special interest for its wildlife habitats and geology and even larger areas are of acknowledged national scenic value.

Against this background many opportunities have been identified for promoting tourism based on the natural environment, leading to increased job opportunities throughout the region.  To exploit this potential it is most important that the quality of the natural resource base should be maintained and enhanced, with new management techniques introduced to counter the increased pressure which would result from additional tourist activity.


This project was led by Highland Regional Council in partnership with Highlands &amp; Islands Enterprise, Scottish Natural Heritage and the Forestry Commission.   Within the LIFE project, initiatives and ventures were selected which fell broadly within the following four key areas of action: visitor facilitities which promote awareness of natural resources; promotion of increased access to the countryside; production and distribution of promotional literature; new approaches to tourism infrastructure management.  The projects carried out were diverse and included the development of local interpretative plan and a guidebook on how to apply a similar approach to other areas, visitor management projects in areas suffering serious visitor pressure on a seasonal basis, interpretation and visitor centres, accreditation scheme for boat operators taking tourists on dolphin watching trips.  
Although the projects were very different, they were all carried out within a common framework which sought to demonstrate sustainability, as a result each project should have a positive economic impact, address a current or anticipated enviromental problem and, wherever possible, engage the local community in the development and refinment of the project."
229,832,Devon County Council,1481345.20,740672.60,"This project is concerned with demonstrating approaches towards sustainable tourism within the county of Devon in the UK and the regions of Asturias and Galicia in Spain.  The overall approach has been to pursue a series of targeted demonstration schemes within the context of a strategic overview.  Within Devon these have been developed in conjunction with a wide range of local partners in four distinct areas, each of which has enabled different elements to be pursued.  In Spain the project has been similarly concentrated in three areas of Asturias and in two areas of Galicia.

Between 1994 and 1996, more than one hundred individual sustainable tourism schemes were carried out within the following four major themes:
· managing visitors in sensitive environments;
· promoting sustainable visitor activities;
· diversifying agriculture;
· raising peoples¿ awareness.

Each of these schemes has explored a different facet of tourism development, and together they provide a comprehensive insight into what sustainable tourism can actually mean in practice.  They are very varied and wide-ranging, and include the creation and extension of footpaths, habitat management, environmental auditing of tourism businesses, securing contributions from visitors towards conservation, linking public transport, interpretation and accomodation to networks and working directly with local communities.

A leaflet has been produced which highlights some of the individual achievements and summarises the lessons learnt from the project.  A more extensive Good Practice Guide is also currently being produced, giving details of the most significant schemes and the good practice which they demonstrate."
230,833,Cornwall Trust for Nature Conservation,844142.62,422071.31,"Geographical Information Systems offer a new means to bring together diverse sources of information into one readily-usable format for land use planning and nature conservation purposes.  The Cornwall LIFE Project is developing a demonstration model of an integrated planning and environmental information system for the county of Cornwall in the south west of England.  This project, a partnership between an NGO and a local authority, will provide information to decision makers to assist in the better planning and management of the area¿s resources.

The project is a partnership between the Cornwall Wildlife Trust, Cornwall County Council and the Société Pour l¿Etude et la Protection de la Nature en Bretagne. 

The aim of the project is to demonstrate a cost-effective and efficient way of providing a local environmental information system (EIS).  The EIS will be used to, amongst other things, support the development plan process within local government and to assist in the establishment of a nature conservation plan for Cornwall.  Other groups of users will be encouraged to make use of the system through a range of consultation and promotional activities.  Pilot areas will be established in Brittany to demonstrate the applicability of the system in other areas of Europe.  Specific aims are: to develop protocols for improving consideration of the environment in land use planning; to provide cost-effective methods for monitoring semi-natural habitat; to contribute to strategic plans for nature conservation; and to demonstrate potential methods for establishing local environmental information systems in other parts of Europe.
Material is to be produced for dissemination to other interested partnerships in Europe.  This material will describe the methods used to establish a local environmental information system in Cornwall, and the ways in which this approach could be adopted in other areas of Europe."
231,643,Southwark Council - Development Department,601160.90,291563.04,"Urban air pollution, much of it caused by road traffic emissions, is one of Europe¿s most widespread environmental problems.  Research suggests that a minority of vehicles contribute to a disproportionate amount of pollution, with perhaps 10% of cars generating 50% of emissions.  This project demonstrates the use of remote sensing equipment that identifies such gross polluters, and investigates links between traffic flows and road-side air quality.  It includes educational activities that raise public awareness of air pollution.

Southwark is a busy, built-up area of London which includes a major road corridor carrying traffic from Kent and the South-East into the centre of the city.  The project is managed by Southwark Council in co-operation with Greenwich University and the Metropolitan Police.  Its aims are to raise the public¿s awareness of air pollution from traffic and its effect on health and general environmental quality, to encourage appropriate changes in transport use and vehicle maintenance which help to reduce pollution levels.  It also investigates air pollution problems in busy road corridors and demonstrates the potential role of advanced pollution detection technology in identifying gross polluters and enforcement of standards.

Two pieces of equipment have been tested, the Denver FEAT system and the ¿smog-dog¿.  Both rely on analysis of interference in a reflected infra-red beam to estimate emissions individual vehicles. The project has undertaken a number of trials of the different techniques that could be used to pick out the registration plate of gross polluters with greater accuracy. The project has also linked a road-side monitoring station to a traffic counting device that can identify the class (size) and speed of vehicles independently and simultaneously in each of four lanes of traffic to examine the effect of traffic type and flows on air quality."
232,644,Kirklees Metropolitan Council - Environment Unit,1125000.01,517500.00,"The project included : Development of a prototype Decision Support System giving the user interactive access to a range of environmental information, models and advice on the environmental parameters to assist effective transport and land use decision making.  Methodology manuals giving examples of good practce in the key themes of air pollution measurement; noise; health and social impacts of transport; and energy consumption.  Manuals will include guidance on resource requirements, sustainability indicators, suitable models, development of an action plan."
233,1213,British Maritime Technology LTD,2309468.00,1154734.00,"Bleaching through the use of chlorine, as is commonly practised in the pulp and paper industry, has a great number of disadvantages.  The purpose of the project is to demonstrate the development and finalisation of new clean technologies for the pulp industry.

The optimisation of the bleaching process will be done, in the final plant, by a Control System with a fuzzy-neural architecture.  To arrive at such architecture, Siemens had to model the bleaching process.  This was done by mathematical modelling, wherever the process was sufficiently known, partly by creating fuzzy rules which evolved and were refined from a set of initial rules provided by the pilot processing plant during the first year.  A major breakthrough was achieved by Siemens during the second year with the linking of these fuzzy rules with a connectionist mechanism for updating them. 

The Control System also required the creation of data acquisition systems both for automatic acquisition of variables measured by sensors at the plant and for mutual input of data gathered off-line (eg lab data).  The On-line Data Acquisition Systems were developed by Siemens and installed at the Caima plant in Portugal.  The Manual Data Acquisition System was developed by BMT and installed by BMT and Caima.  Based on these Data Acquisition Systems, on the Human Computer interface developed by BMT and on statistical Control Charts specially created by BMT and Caima, a manual control system has already been developed and installed to help in the process of sequence installation.  The final control system will be a model predictive controller and is presently being designed by Siemens."
234,951,Natural Environment Research Council - Institute of Freshwater Ecology,1222709.60,611354.80,"Lakes are widely regarded as ideal ¿sentinels¿ of environmental change.  They respond in a predictable way to changes in the catchment and are dominated by biological communities that are strongly influenced by changes in the weather.  In recent years, it has become clear that many of the long-term changes recorded in lakes are driven by climatic processes that operate on a regional or even global scale.  Automatic recording instruments provide the ideal means of recording the responses of lakes to short term variations in the weather.  A variety of water quality monitoring systems are currently used in the water industry but the advantages of combining such measurements with high resolution meteorological records have yet to be fully appreciated.

The main objective of this project was to design and build a buoy based instrument that can be deployed in lakes to monitor the response to changes in the weather.  The system includes a range of meteorological as well as limnological sensors and is designed to transmit this information to a remote operator via a radio link to a telephone line.This project aims to design, construct and test an integrated water quality monitoring system for freshwater lakes and reservoirs. Most of the sensors fitted to the system have been obtained commercially but one sensor (a multi-band transmissometer for measuring water colour) has been designed and built in the IFE.  

The project was divided into the following distinct work phases:

· design and construction of the instruments in the UK;
· testing of the three variants of the prototype systems in a series of UK lakes;
· deliverance of operational versions of the system for deployment in two lakes in Spain and two lakes in Ireland"
235,1214,Maidstone Town Ctre Management Initiative c/o Maidstone Borough Council,958620.00,479310.00,"There is increasing concern throughout the EU over the environmental impacts of transport, particularly road traffic, in terms of noise, visual intrusion and air pollution.  At a local level, there are generally concerns about the environmental impact of transport but also the economic implications of addressing these impacts. This project will allow different transportation techniques to be tested and measures implemented to reduce road traffic pressures and promote alternative means of transport to the private car whilst maintaining the town¿s commercial vitality.

The aim of the MIST project was to demonstrate whether a mix of environmental and commercial objectives could be achieved through an integrated management structure involving a public and private sector partnership.  The objectives set initially related to a reduction in private commuter car traffic, an increase in the share of public transport , a self sufficient local public transport network, and a maintained or enhanced level of commercial vitality. Targets for the reduction of CO2 and other pollutants were set.

The project required a cooperative and innovative approach involving local authorities, the business community and local passenger transport operators. 

The findings from this project will be particularly relevant to other towns throughout Europe which are medium sized (population approximately 100,000), subject to peak hour traffic congestion, and attempting to manage transport whilst taking account of commercial implications."
236,173,Suffolk Wildlife Trust,1800001.00,1.00,"Although Redgrave and South Lopham fen only covers some 125 ha, it is still the largest of what remains of the calcareous valley fens in England and has long been recognised for its great botanical and entomological significance. It is also a priority habitat type under the Habitats Directive (92/43/EEC). The entire ecology of the site is dependent on a continuous seepage of calcareous ground water. However two relatively recent events have brought about an important hydrological disruption. One was the sinking of an abstraction borehole in the 1960s, the other was the deep dredging of the River Waveney which surrounds the fen on two sides. As a result, the site has been progressively drying out over the 20 years prior to project inception, and had reached the stage where it would have disappeared completely without immediate intervention. Another threat is nutrient enrichment: the catchment contains about 1 100 ha of intensively-managed farmland, and fens need ultra low fertility conditions.  Concern for the long-term future of this important site led a consortium of conservation bodies, public authorities and private companies to propose an immediate rescue plan under the LIFE Programme."
237,160,Royal Society for the Protection of Birds (RSPB),1000000.00,500000.00,"There were some 20 bird species in Annex I of the Birds Directive (79/409/EEC) that, at project inception, were thought to be courting extinction. Some have shown a rapid rate of population decline, some are restricted to rare or threatened habitats, others are considered vulnerable because of their small total population size or range. In order for conservation measures to be effective, two main elements would be essential: the first is a clear European conservation policy and action plan for each species based on an analysis of all existing information; and the second is a co-ordinated approach not only across Member States, but also between government authorities, NGOs and the scientific community."
238,640,"Department of Highways, Ports and Properties",5207000.00,1093470.00,The project never started.
239,1471,MEMCOR Ltd,3831927.00,352537.28,"The MEMCOR CMF process is based on microporous hollow fibre membranes which reject suspended solids, bacteria and viruses.  The process is unique in that the retained contaminants are rejected from the soft membrane by a proprietary gas backwash. This backwash ensures the maintenance of filtration rates and final effluent quality.  Feed to the system will be raw sewage from the villages of Aberporth and Tresaith and will be predominantly domestic in nature.  This sewage is, at present, discharged untreated through short outfalls into Cardigan Bay.  The technology is expected to treat effluent to a standard above that required by the EC Bathing Water Directive.  Prior to the membrane process the raw feed must be treated to remove large solids and to reduce the suspended solids load; this will be achieved by a preliminary screening step and by a very compact lamella settling process.  Settled sewage passes through the screen to the feed tank; screened effluent is then pumped to the microfiltration units.  The feed flow passes through the microporous hollow fibres within each membrane module.  Solids, bacteria, viruses and precipitated phosphorous are retained at the membrane wall whilst clean filtrate passes through to the centre of the fibres.  The total filtrate flow then passes under gravity to the discharge point of the plant."
240,947,The Pensthorpe Waterfowl Trust,1535000.00,767500.00,"The North Sea Environmental Centre was established out of the restoration and conversion of an old barn.  The Centre aims to increase public awareness and understanding of the North Sea and its wildlife and habitats and the effects of human activity on the ecology of the North Sea.


The Centre is an audio visual and versatile educational facility.  It provides a unique visitor experience relating the story of the North Sea and its wildlife.  The centre is multifunctional and is also used for exhibitions, lectures, seminars and conferences.

The ¿Beneath the Sea¿ interpretation provides an up-to-date and topical educational facility on the effects of human activity on the ecology of the North Sea eg overfishing, beam trawling, pollution, etc.   The Centre has been open to the public since Spring 1994 and is expected to receive over 50,000 visitors annually, some 5,000 of whom will be school children in organised educational groups"
241,1333,Albright and Wilson Ltd.,6228421.00,1868526.30,"One waste stream arising from the manufacture of purified acid is an acid containing impurities from the ¿green¿ acid. This impure acid, known as raffinate, contains traces of a number of heavy metals. The method preferred by the United Nations and other authorities for the disposal of this waste stream has been discharge to sea. This project aims to remove toxic and nutrient emissions from this waste stream at a discharge point into the Irish Sea. The measures proposed would radically reduce the concentrations of trace metals in the effluent discharge.

The process developed and implemented by Albright and Wilson requires neutralisation  of the raffinate with quicklime to lock the heavy metals in an inert solid of similar crystalline structure to natural phosphate rock.  The process fastens the metal in a hydroxyapatite lattice. The waste is delivered as granules, with one tonne of raffinate producing approximately 1.2 tonnes of solidified material, primarily calcium sulphate with some sodium sulphate and calcium hydroxyapatite. Whilst some components will dissolve with prolonged exposure to water, the calcium hydroxyapatite is insoluble.

The objective of the LIFE project was to establish the first commercial scale plant to demonstrate this new process and to achieve a specified set of emission reductions for seven heavy metals discharged into the Irish Sea."
242,634,Somerset County Council - Department of the Environment,1104000.00,552000.00,"The overall aim of this project is to demonstrate the practical use of reedbed technology in improving the quality of the environment.  Two sites of conservation importance were identified for the demonstration. The Somerset Levels and Moors is a nationally and internationally important coastal wetland system, comprising large areas of unimproved grazing marsh which drain into Bridgwater Bay, a Ramsar site and Special Protection Area.  The Marais du Cotentin et du Bessin is the most important peat grazing marsh in France, comprising the valleys of the Vire, Douve, Aure and Taute which discharge into the Baie des Veys, another Ramsar site and SPA. 

The design, physical works and development of the reedbeds has been completed and both sites are now managed as functioning wetlands.  Useful lessons have been learnt about the planting and aftercare of reed and recommendations made about species selection based on the existence of different reed populations.

The majority of management effort is now directed at monitoring the reedbed systems and their impact on the immediate environment.  The systems are testing the capacity of reedbeds to remove high and low levels of pollutants from water entering sensitive environments within an agricultural and an urban context.   Monitoring of the water environment involves an assessment of the treatment efficiency and of the effect of the system on downstream aquatic life.

In addition to monitoring the effects on water quality, the project will also investigate the wildlife potential of large reedbeds managed for water treatment and demonstrate the capacity of such reedbeds to support breeding fish populations and to provide a habitat for rare wetland birds."
243,1066,ECOBOOM,1001761.45,290510.82,Project has been cancelled.
244,1334,Fife Regional council,1423108.00,711554.00,"The Bluther Burn Trunk Sewer, constructed over sixty years ago, serves 8,100 people living in five villages in West Fife on the east coast of Scotland.  Before Spring 1994 this trunk sewer discharged untreated sewage into a nearby bay, well above the low water mark. This project demonstrated the environmental advantages of the reedbeds in treating domestic and industrial waste waters.  The specific environmental issues were to reduce nutrient input to the Forth Estuary, to eliminate a source of organic and trace metal solids, and to provide a wildlife habitat to redress the loss of natural wetlands due to industrial and farming development.

The reedbeds (Phragmites australis) cover an area of 4.4 hectares and use furnace bottom ash, a waste product from the nearby coal-fired power station, as the growing medium.

The project involved an assessment of the efficiency and environmental implications of treating domestic sewage and non-toxic industrial waste waters using reed beds.  Construction of the reed beds was completed in early 1994.  Reed planting started in spring 1994 and was completed in spring 1995.  Domestic sewage was introduced into the beds in June 1995.  Industrial experiments have also commenced in partnership with Scottish Enterprise and promising results have been obtained in trials carried out with distillery effluent.  The reed beds are still maturing and monitoring will continue to confirm the long term efficiency of the system."
245,822,Leicester Environment City Trust Ltd.,5010400.00,1202496.00,"In 1990, Leicester was designated Britain¿s first Environment City. The award recognised both Leicester¿s good track record on environmental issues and its commitment towards the goal of local sustainability. To promote sustainable development, the Environment City project demanded new thinking, new priorities and new ways of working. In particular, as the problems it addressed are created by the combined actions of individuals and organisations across the City, it placed great emphasis on organisations working together in partnership. 

The goal of this project was to work with statutory bodies, businesses, voluntary organisations and individuals to assist in the identification and implementation of practical and achievable projects that would move Leicester towards a model of sustainable urban development.  Following the beginning of LIFE support in 1992, the project worked towards seven main objectives: to create partnership and alliances for sustainable development; to research and disseminate good environmental practice; to share experience through networks and lobby for change; to develop practical Environment City projects; to develop a strategic (Local Agenda 21) vision for Leicester; to develop a local promotional campaign to raise environmental awareness; and to monitor progress towards sustainability.

 As the Environment City initiative in Leicester progressed, new projects were applied. For instance, the role of the Specialist Working Groups (theme-based) changed as experience was gained of their strengths and weaknesses, and Local Agenda 21 provided opportunities to experiment with ways of gaining greater public involvement in decision making. Hence, as well as change on the ground, the Environment City Project has led to a much improved understanding of the process of change."
246,635,EVC COMPOUNDS LTD.,2052.00,1.00,"c(1) Demonstration on a full production scale that PVC, PET and HDPE bottles could be separated from the waste and from each other into soleable fractions.  The REPRISE plastic bottle recycling plant is operating at Bold near St Helens.  RECOUP, the industry sponsored agency for collecting bottles has set up several collection schemes around the UK.  (2) After initial manual sorting of unwanted materials (e.g. film and coloured PET bottles), the process produced clean streams of PVC, PET and HDPE at up to 750KG/hr at better than 99% purity.  (3) To obtain acceptance into higher value applications, the purity of final streams was improved by operating separated lines for PVC/PE and PET at REPRISE.  RECOUP obtained improved initial sorting at Local Authorities.  Purities now obtained are better than 99,9%.  (4) HDPE bottles recyclate is used in the middle layer of detergent bottles and also for garden products.  PVC is used to make weather boarding, telecom fittings and pipe fittings.  PVC trays are recycled back into trays.  PET is used to make fibres for filing duvets, clothing, etc, also for trapping tape and clear containers.  High value markets have been developped.  At current prices, 4000 tonnes/annum throughput is required to break even.  Availability of bottles is the main restaint.  The potential for viability has been confirmed.  (5) The technology has already been used in the Milton Keynes Borough Council £5m recycling facility and a unit is planned in Japan.  REPRISE is disseminating its knowledge and experience widely through technical journals and international conference.  (6) REPRISE is working with the Plastic Industry Films Association and a major retailer to recycle PVC display trays.  Scrap bottle manufacturing processes is also being recycled."
247,939,"Sea Mammals Research Unit, NERC c/o British Antartic Survey",1408850.00,704425.00,"Sea mammals are under threat across the world.  Pollution, capture in fishing nets, over-fishing of their food supplies, hunting and other factors are contributing to this problem.  Furthermore, conservation policy protecting sea mammals often suffers from a lack of reliable information on population sizes and distribution. The threats faced by cetaceans in EU waters are recognised in the Habitats Directive Cetaceans are listed in Annex IV as species needing strict protection, and two (the harbour porpoise and bottlenose dolphin) require the designation of Special Areas of Conservation.  The need for quantitative information on the distribution and abundance of small cetaceans in the North Sea has been recognised repeatedly in international fora working for the protection of these animals. 

This project involved most of the countries with a North Sea coast in a survey to map the distribution and to estimate the abundance of the harbour porpoise and other species.  It demonstrated an improved methodology for this kind of survey and has provided valuable information for the management of natural resources in the North Sea. The objectives were: to identify major summer concentrations of harbour porpoises and other small cetaceans in the North Sea and adjacent waters; to estimate the abundance of harbour porpoises and other small cetaceans in the area; and to provide information essential to the conservation and management of these species, and to serve as a baseline for their future monitoring."
